score_id,farm_id,crop_id,crop_name,weather_suitability_score,market_opportunity_score,msp_safety_score,risk_score,overall_score,explanation,generated_date,rank_within_farm
SCORE00089,FARM0003,CROP004,Sorghum (Jowar),42.1,43.0,59.9,45.9,46.5,Weather fit 42.1/100 (forecast avg temp 26.6C vs ideal 33-1400C; 759mm forecast vs 450mm crop requirement); Market opportunity 43.0/100 (recent mandi trend); MSP safety 59.9/100; combined risk 45.9/100.,2026-08-29,5
SCORE00090,FARM0003,CROP007,Chickpea (Gram),60.0,27.6,83.3,54.9,54.2,Weather fit 60.0/100 (forecast avg temp 26.6C vs ideal 25-1200C; 759mm forecast vs 350mm crop requirement); Market opportunity 27.6/100 (recent mandi trend); MSP safety 83.3/100; combined risk 54.9/100.,2026-08-29,4
SCORE00091,FARM0039,CROP001,Rice (Paddy),50.0,28.9,88.1,51.3,51.5,Weather fit 50.0/100 (forecast avg temp 28.8C vs ideal 35-4200C; 626mm forecast vs 1250mm crop requirement); Market opportunity 28.9/100 (recent mandi trend); MSP safety 88.1/100; combined risk 51.3/100.,2026-08-29,5
SCORE00092,FARM0039,CROP009,Green Gram (Moong),52.8,60.3,86.5,61.8,63.1,Weather fit 52.8/100 (forecast avg temp 28.8C vs ideal 32-600C; 626mm forecast vs 350mm crop requirement); Market opportunity 60.3/100 (recent mandi trend); MSP safety 86.5/100; combined risk 61.8/100.,2026-08-29,2
SCORE00093,FARM0039,CROP019,Potato,89.9,65.7,24.8,69.6,66.6,Weather fit 89.9/100 (forecast avg temp 28.8C vs ideal 22-22000C; 626mm forecast vs 500mm crop requirement); Market opportunity 65.7/100 (recent mandi trend); MSP safety 24.8/100; combined risk 69.6/100.,2026-08-29,1
SCORE00094,FARM0039,CROP010,Black Gram (Urad),52.8,33.8,88.5,54.2,54.4,Weather fit 52.8/100 (forecast avg temp 28.8C vs ideal 32-600C; 626mm forecast vs 350mm crop requirement); Market opportunity 33.8/100 (recent mandi trend); MSP safety 88.5/100; combined risk 54.2/100.,2026-08-29,4
SCORE00095,FARM0039,CROP007,Chickpea (Gram),68.4,39.6,81.6,62.4,61.5,Weather fit 68.4/100 (forecast avg temp 28.8C vs ideal 25-1200C; 626mm forecast vs 350mm crop requirement); Market opportunity 39.6/100 (recent mandi trend); MSP safety 81.6/100; combined risk 62.4/100.,2026-08-29,3
SCORE00096,FARM0026,CROP006,Barley,60.5,33.5,62.0,52.7,51.5,Weather fit 60.5/100 (forecast avg temp 27.6C vs ideal 22-2800C; 696mm forecast vs 350mm crop requirement); Market opportunity 33.5/100 (recent mandi trend); MSP safety 62.0/100; combined risk 52.7/100.,2026-08-29,5
SCORE00097,FARM0026,CROP013,Mustard,60.5,58.7,59.9,59.8,59.7,Weather fit 60.5/100 (forecast avg temp 27.6C vs ideal 25-1500C; 696mm forecast vs 350mm crop requirement); Market opportunity 58.7/100 (recent mandi trend); MSP safety 59.9/100; combined risk 59.8/100.,2026-08-29,2
SCORE00098,FARM0026,CROP020,Onion,78.2,62.6,42.0,66.3,64.5,Weather fit 78.2/100 (forecast avg temp 27.6C vs ideal 25-18000C; 696mm forecast vs 450mm crop requirement); Market opportunity 62.6/100 (recent mandi trend); MSP safety 42.0/100; combined risk 66.3/100.,2026-08-29,1
SCORE00099,FARM0026,CROP021,Tomato,78.2,41.0,27.5,56.9,53.7,Weather fit 78.2/100 (forecast avg temp 27.6C vs ideal 27-25000C; 696mm forecast vs 450mm crop requirement); Market opportunity 41.0/100 (recent mandi trend); MSP safety 27.5/100; combined risk 56.9/100.,2026-08-29,3
SCORE00100,FARM0026,CROP019,Potato,84.3,26.4,30.6,56.2,52.0,Weather fit 84.3/100 (forecast avg temp 27.6C vs ideal 22-22000C; 696mm forecast vs 500mm crop requirement); Market opportunity 26.4/100 (recent mandi trend); MSP safety 30.6/100; combined risk 56.2/100.,2026-08-29,4
SCORE00101,FARM0062,CROP004,Sorghum (Jowar),25.4,28.3,73.0,35.8,37.4,Weather fit 25.4/100 (forecast avg temp 24.0C vs ideal 33-1400C; 803mm forecast vs 450mm crop requirement); Market opportunity 28.3/100 (recent mandi trend); MSP safety 73.0/100; combined risk 35.8/100.,2026-08-29,5
SCORE00102,FARM0062,CROP002,Wheat,63.8,59.4,72.7,64.3,64.3,Weather fit 63.8/100 (forecast avg temp 24.0C vs ideal 25-3600C; 803mm forecast vs 450mm crop requirement); Market opportunity 59.4/100 (recent mandi trend); MSP safety 72.7/100; combined risk 64.3/100.,2026-08-29,1
SCORE00103,FARM0062,CROP005,Pearl Millet (Bajra),16.8,55.2,74.0,39.8,43.2,Weather fit 16.8/100 (forecast avg temp 24.0C vs ideal 33-1600C; 803mm forecast vs 400mm crop requirement); Market opportunity 55.2/100 (recent mandi trend); MSP safety 74.0/100; combined risk 39.8/100.,2026-08-29,4
SCORE00104,FARM0062,CROP007,Chickpea (Gram),55.2,70.1,71.2,62.9,64.0,Weather fit 55.2/100 (forecast avg temp 24.0C vs ideal 25-1200C; 803mm forecast vs 350mm crop requirement); Market opportunity 70.1/100 (recent mandi trend); MSP safety 71.2/100; combined risk 62.9/100.,2026-08-29,2
SCORE00105,FARM0062,CROP015,Sesame,21.6,68.1,64.1,44.0,47.4,Weather fit 21.6/100 (forecast avg temp 24.0C vs ideal 32-500C; 803mm forecast vs 400mm crop requirement); Market opportunity 68.1/100 (recent mandi trend); MSP safety 64.1/100; combined risk 44.0/100.,2026-08-29,3
SCORE00106,FARM0042,CROP009,Green Gram (Moong),41.5,32.0,58.9,42.1,42.2,Weather fit 41.5/100 (forecast avg temp 28.2C vs ideal 32-600C; 862mm forecast vs 350mm crop requirement); Market opportunity 32.0/100 (recent mandi trend); MSP safety 58.9/100; combined risk 42.1/100.,2026-08-29,5
SCORE00107,FARM0042,CROP001,Rice (Paddy),54.7,64.7,59.2,58.6,59.2,Weather fit 54.7/100 (forecast avg temp 28.2C vs ideal 35-4200C; 862mm forecast vs 1250mm crop requirement); Market opportunity 64.7/100 (recent mandi trend); MSP safety 59.2/100; combined risk 58.6/100.,2026-08-29,3
SCORE00108,FARM0042,CROP025,Mango,89.4,63.6,42.6,72.3,69.7,Weather fit 89.4/100 (forecast avg temp 28.2C vs ideal 30-8000C; 862mm forecast vs 900mm crop requirement); Market opportunity 63.6/100 (recent mandi trend); MSP safety 42.6/100; combined risk 72.3/100.,2026-08-29,1
SCORE00109,FARM0042,CROP020,Onion,63.4,52.2,23.6,52.1,50.4,Weather fit 63.4/100 (forecast avg temp 28.2C vs ideal 25-18000C; 862mm forecast vs 450mm crop requirement); Market opportunity 52.2/100 (recent mandi trend); MSP safety 23.6/100; combined risk 52.1/100.,2026-08-29,4
SCORE00110,FARM0042,CROP011,Soybean,82.6,56.2,65.2,71.2,69.5,Weather fit 82.6/100 (forecast avg temp 28.2C vs ideal 28-1500C; 862mm forecast vs 600mm crop requirement); Market opportunity 56.2/100 (recent mandi trend); MSP safety 65.2/100; combined risk 71.2/100.,2026-08-29,2
SCORE00111,FARM0048,CROP010,Black Gram (Urad),30.3,70.4,58.9,48.1,50.7,Weather fit 30.3/100 (forecast avg temp 25.6C vs ideal 32-600C; 691mm forecast vs 350mm crop requirement); Market opportunity 70.4/100 (recent mandi trend); MSP safety 58.9/100; combined risk 48.1/100.,2026-08-29,5
SCORE00112,FARM0048,CROP013,Mustard,61.0,36.7,69.3,55.4,54.5,Weather fit 61.0/100 (forecast avg temp 25.6C vs ideal 25-1500C; 691mm forecast vs 350mm crop requirement); Market opportunity 36.7/100 (recent mandi trend); MSP safety 69.3/100; combined risk 55.4/100.,2026-08-29,4
SCORE00113,FARM0048,CROP003,Maize,83.0,49.7,57.5,67.9,65.6,Weather fit 83.0/100 (forecast avg temp 25.6C vs ideal 27-3200C; 691mm forecast vs 550mm crop requirement); Market opportunity 49.7/100 (recent mandi trend); MSP safety 57.5/100; combined risk 67.9/100.,2026-08-29,1
SCORE00114,FARM0048,CROP007,Chickpea (Gram),61.0,43.7,76.7,59.0,58.6,Weather fit 61.0/100 (forecast avg temp 25.6C vs ideal 25-1200C; 691mm forecast vs 350mm crop requirement); Market opportunity 43.7/100 (recent mandi trend); MSP safety 76.7/100; combined risk 59.0/100.,2026-08-29,2
SCORE00115,FARM0048,CROP019,Potato,84.7,48.5,21.5,61.2,57.7,Weather fit 84.7/100 (forecast avg temp 25.6C vs ideal 22-22000C; 691mm forecast vs 500mm crop requirement); Market opportunity 48.5/100 (recent mandi trend); MSP safety 21.5/100; combined risk 61.2/100.,2026-08-29,3
SCORE00116,FARM0040,CROP021,Tomato,67.7,45.8,30.4,53.7,51.6,Weather fit 67.7/100 (forecast avg temp 27.1C vs ideal 27-25000C; 813mm forecast vs 450mm crop requirement); Market opportunity 45.8/100 (recent mandi trend); MSP safety 30.4/100; combined risk 53.7/100.,2026-08-29,5
SCORE00117,FARM0040,CROP008,Pigeon Pea (Tur),76.3,47.4,51.0,62.6,60.5,Weather fit 76.3/100 (forecast avg temp 27.1C vs ideal 30-900C; 813mm forecast vs 650mm crop requirement); Market opportunity 47.4/100 (recent mandi trend); MSP safety 51.0/100; combined risk 62.6/100.,2026-08-29,3
SCORE00118,FARM0040,CROP001,Rice (Paddy),48.3,38.7,88.0,53.4,54.1,Weather fit 48.3/100 (forecast avg temp 27.1C vs ideal 35-4200C; 813mm forecast vs 1250mm crop requirement); Market opportunity 38.7/100 (recent mandi trend); MSP safety 88.0/100; combined risk 53.4/100.,2026-08-29,4
SCORE00119,FARM0040,CROP020,Onion,67.7,69.2,43.5,63.3,62.6,Weather fit 67.7/100 (forecast avg temp 27.1C vs ideal 25-18000C; 813mm forecast vs 450mm crop requirement); Market opportunity 69.2/100 (recent mandi trend); MSP safety 43.5/100; combined risk 63.3/100.,2026-08-29,2
SCORE00120,FARM0040,CROP012,Groundnut,67.2,62.9,67.4,66.0,65.8,Weather fit 67.2/100 (forecast avg temp 27.1C vs ideal 30-1900C; 813mm forecast vs 550mm crop requirement); Market opportunity 62.9/100 (recent mandi trend); MSP safety 67.4/100; combined risk 66.0/100.,2026-08-29,1
SCORE00121,FARM0050,CROP012,Groundnut,69.5,71.9,62.0,68.7,68.6,Weather fit 69.5/100 (forecast avg temp 26.6C vs ideal 30-1900C; 748mm forecast vs 550mm crop requirement); Market opportunity 71.9/100 (recent mandi trend); MSP safety 62.0/100; combined risk 68.7/100.,2026-08-29,1
SCORE00122,FARM0050,CROP020,Onion,73.5,54.7,34.7,60.1,58.1,Weather fit 73.5/100 (forecast avg temp 26.6C vs ideal 25-18000C; 748mm forecast vs 450mm crop requirement); Market opportunity 54.7/100 (recent mandi trend); MSP safety 34.7/100; combined risk 60.1/100.,2026-08-29,2
SCORE00123,FARM0050,CROP015,Sesame,39.5,47.0,60.0,45.8,46.8,Weather fit 39.5/100 (forecast avg temp 26.6C vs ideal 32-500C; 748mm forecast vs 400mm crop requirement); Market opportunity 47.0/100 (recent mandi trend); MSP safety 60.0/100; combined risk 45.8/100.,2026-08-29,4
SCORE00124,FARM0050,CROP005,Pearl Millet (Bajra),34.7,41.5,75.7,44.9,46.5,Weather fit 34.7/100 (forecast avg temp 26.6C vs ideal 33-1600C; 748mm forecast vs 400mm crop requirement); Market opportunity 41.5/100 (recent mandi trend); MSP safety 75.7/100; combined risk 44.9/100.,2026-08-29,5
SCORE00125,FARM0050,CROP019,Potato,80.1,39.2,28.7,57.6,54.2,Weather fit 80.1/100 (forecast avg temp 26.6C vs ideal 22-22000C; 748mm forecast vs 500mm crop requirement); Market opportunity 39.2/100 (recent mandi trend); MSP safety 28.7/100; combined risk 57.6/100.,2026-08-29,3
