notification_id,farmer_id,farm_id,notification_type,message,scheduled_date,priority,status
NOTIF00178,FARM_USR0032,FARM0036,MSP Update,New MSP announced for Sorghum (Jowar) for the upcoming season.,2026-07-31,Low,Pending
NOTIF00179,FARM_USR0015,FARM0017,Disease Risk Alert,Weather conditions favor fungal disease risk for Sorghum (Jowar) at FARM0017. Consider preventive spray.,2026-06-01,Medium,Pending
NOTIF00180,FARM_USR0014,FARM0016,Disease Risk Alert,Weather conditions favor fungal disease risk for Mustard at FARM0016. Consider preventive spray.,2026-08-13,Low,Read
NOTIF00181,FARM_USR0032,FARM0036,MSP Update,New MSP announced for Onion for the upcoming season.,2026-06-15,Low,Sent
NOTIF00182,FARM_USR0050,FARM0059,Price Alert,Modal price for Banana at your nearest mandi has moved by more than 8% this week.,2026-07-16,Low,Sent
NOTIF00183,FARM_USR0044,FARM0050,Price Alert,Modal price for Rice (Paddy) at your nearest mandi has moved by more than 8% this week.,2026-08-03,Low,Sent
NOTIF00184,FARM_USR0058,FARM0069,Price Alert,Modal price for Pearl Millet (Bajra) at your nearest mandi has moved by more than 8% this week.,2026-07-26,Medium,Pending
NOTIF00185,FARM_USR0010,FARM0012,Price Alert,Modal price for Soybean at your nearest mandi has moved by more than 8% this week.,2026-08-17,High,Read
NOTIF00186,FARM_USR0025,FARM0027,Disease Risk Alert,Weather conditions favor fungal disease risk for Rice (Paddy) at FARM0027. Consider preventive spray.,2026-06-04,Low,Pending
NOTIF00187,FARM_USR0054,FARM0064,Price Alert,Modal price for Jute at your nearest mandi has moved by more than 8% this week.,2026-07-10,Medium,Read
NOTIF00188,FARM_USR0056,FARM0067,MSP Update,New MSP announced for Banana for the upcoming season.,2026-08-27,Medium,Sent
NOTIF00189,FARM_USR0005,FARM0006,MSP Update,New MSP announced for Chili for the upcoming season.,2026-07-15,Medium,Sent
NOTIF00190,FARM_USR0008,FARM0009,MSP Update,New MSP announced for Pigeon Pea (Tur) for the upcoming season.,2026-06-13,Medium,Pending
NOTIF00191,FARM_USR0018,FARM0020,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0020.,2026-08-02,Medium,Read
NOTIF00192,FARM_USR0039,FARM0044,MSP Update,New MSP announced for Banana for the upcoming season.,2026-06-12,Low,Sent
NOTIF00193,FARM_USR0008,FARM0010,Price Alert,Modal price for Sugarcane at your nearest mandi has moved by more than 8% this week.,2026-06-23,Low,Read
NOTIF00194,FARM_USR0039,FARM0044,MSP Update,New MSP announced for Sunflower for the upcoming season.,2026-08-20,Low,Sent
NOTIF00195,FARM_USR0055,FARM0066,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0066.,2026-06-25,Medium,Sent
NOTIF00196,FARM_USR0012,FARM0014,Price Alert,Modal price for Potato at your nearest mandi has moved by more than 8% this week.,2026-08-20,Medium,Sent
NOTIF00197,FARM_USR0046,FARM0053,Irrigation Reminder,Your Rice (Paddy) crop on FARM0053 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-07-10,Medium,Pending
NOTIF00198,FARM_USR0035,FARM0039,Disease Risk Alert,Weather conditions favor fungal disease risk for Sorghum (Jowar) at FARM0039. Consider preventive spray.,2026-08-15,Low,Sent
NOTIF00199,FARM_USR0021,FARM0023,Disease Risk Alert,Weather conditions favor fungal disease risk for Mango at FARM0023. Consider preventive spray.,2026-08-10,Medium,Read
NOTIF00200,FARM_USR0058,FARM0069,MSP Update,New MSP announced for Pearl Millet (Bajra) for the upcoming season.,2026-08-13,Low,Pending
